190011054,60000,waiting,Tue Feb 18 16:12:35 EST 2020,Tue Jan 01 01:25:00 EST 2019
190011172,54692,answering,Tue Feb 18 16:12:03 EST 2020,Tue Jan 01 01:37:00 EST 2019
190010138,50734,handling,Tue Feb 18 16:11:14 EST 2020,Tue Jan 01 00:20:00 EST 2019
190010831,60000,handling,Tue Feb 18 16:12:14 EST 2020,Mon Jan 01 04:14:00 EST 2018
190011054,60000,waiting,Tue Feb 18 16:12:35 EST 2020,Tue Jan 01 01:25:00 EST 2019
190011172,54692,answering,Tue Feb 18 16:12:03 EST 2020,Tue Jan 01 01:37:00 EST 2019
190011777,109018,waiting,Tue Feb 18 16:12:05 EST 2020,Mon Dec 31 17:00:00 EST 2018
190010831,60000,handling,Tue Feb 18 16:12:14 EST 2020,Mon Jan 01 04:14:00 EST 2018
190011054,60000,waiting,Tue Feb 18 16:12:35 EST 2020,Tue Jan 01 01:25:00 EST 2019
190011172,99863,handling,Tue Feb 18 16:12:58 EST 2020,Tue Jan 01 01:37:00 EST 2019
190011777,109018,waiting,Tue Feb 18 16:12:05 EST 2020,Mon Dec 31 17:00:00 EST 2018
190010831,60000,handling,Tue Feb 18 16:12:14 EST 2020,Mon Jan 01 04:14:00 EST 2018
190011054,60000,waiting,Tue Feb 18 16:12:35 EST 2020,Tue Jan 01 01:25:00 EST 2019
190011172,99863,handling,Tue Feb 18 16:12:58 EST 2020,Tue Jan 01 01:37:00 EST 2019
190011777,60000,answering,Tue Feb 18 16:13:54 EST 2020,Mon Dec 31 17:00:00 EST 2018
190011304,111220,waiting,Tue Feb 18 16:13:14 EST 2020,Sat Dec 29 03:30:00 EST 2018
190011054,60000,waiting,Tue Feb 18 16:12:35 EST 2020,Tue Jan 01 01:25:00 EST 2019
190011172,99863,handling,Tue Feb 18 16:12:58 EST 2020,Tue Jan 01 01:37:00 EST 2019
190011777,60000,answering,Tue Feb 18 16:13:54 EST 2020,Mon Dec 31 17:00:00 EST 2018
190011304,111220,waiting,Tue Feb 18 16:13:14 EST 2020,Sat Dec 29 03:30:00 EST 2018
190011054,98112,answering,Tue Feb 18 16:13:35 EST 2020,Tue Jan 01 01:25:00 EST 2019
