,Report Number,Occur Date,Occur Time,Neighborhood
2,190011858,2019-01-01,1740,Greenbriar
3,190010716,2018-12-31,2350,Sweet Auburn
9,190011191,2018-12-31,1100,Downtown
12,190011314,2019-01-01,1004,Sylvan Hills
14,190011581,2019-01-01,1100,Mechanicsville
15,190011593,2019-01-01,1430,Poncey-Highland
16,190011777,2018-12-31,1700,North Buckhead
17,190012068,2019-01-01,1930,Downtown
18,190012208,2019-01-01,1809,Downtown
19,190012236,2019-01-01,2200,Blandtown
20,190012268,2019-01-01,2140,Marietta Street Artery
22,190011541,2019-01-01,1400,Lenox
23,190011619,2019-01-01,1528,Lenox
24,190011772,2019-01-01,1615,Lenox
25,190012152,2019-01-01,2050,Capitol View
27,190010095,2018-12-31,2242,Old Fourth Ward
28,190010365,2018-12-31,1840,Downtown
29,190010456,2018-12-31,2357,Castleberry Hill
30,190010532,2018-12-31,2300,Home Park
31,190010579,2018-12-31,1930,Kirkwood
32,190011331,2018-12-31,2030,Grant Park
33,190011948,2019-01-01,1700,Edgewood
34,190011642,2019-01-01,1100,other
35,190011645,2019-01-01,1530,Lakewood
36,190011227,2018-12-31,1930,Brookview Heights
37,190011965,2019-01-01,1845,Oakland City
41,190011276,2019-01-01,1050,Atlantic Station
43,190012351,2019-01-01,2315,Lindridge/Martin Manor
48,190011834,2019-01-01,1732,Collier Heights
51,190010580,2018-12-31,1905,Home Park
52,190011032,2018-12-26,1000,Mechanicsville
53,190011394,2018-12-23,2100,Oakland City
55,190011443,2018-12-31,1500,Westview
56,190012325,2019-01-01,2200,Westview
57,190011334,2018-12-01,1600,The Villages at Castleberry Hill
58,190012028,2019-01-01,1500,Custer/McDonough/Guice
59,190012327,2019-01-01,1700,Vine City
60,190012129,2019-01-01,2040,Knight Park/Howell Station
64,190020763,2018-12-29,1730,Adams Park
66,190021263,2018-12-15,1200,Colonial Homes
67,190021317,2018-12-26,1700,other
68,190020994,2019-01-02,1300,Downtown
69,190021591,2019-01-02,1200,Loring Heights
70,190021902,2019-01-02,2230,Lindridge/Martin Manor
72,190020866,2019-01-02,1200,Grant Park
76,190020420,2018-12-28,2059,Midtown
77,190020425,2019-01-01,2000,Peoplestown
78,190020573,2019-01-01,1500,Lindbergh/Morosgo
79,190020602,2019-01-01,2200,Cascade Avenue/Road
82,190021080,2019-01-02,1345,West End
83,190021549,2019-01-02,1826,Venetian Hills
84,190021659,2019-01-02,1915,West End
86,190020392,2019-01-01,1000,Downtown
87,190020393,2018-12-31,1645,Bolton
88,190020719,2019-01-02,1044,Chosewood Park
89,190021398,2019-01-02,1645,other
91,190021503,2019-01-02,1800,Center Hill
92,190021910,2019-01-02,2253,Sylvan Hills
93,190020792,2019-01-02,1129,Downtown
94,190021453,2019-01-02,1600,Grove Park
95,190020874,2019-01-01,1200,Lindbergh/Morosgo
96,190020952,2018-12-21,1800,Inman Park
97,190021110,2019-01-02,1430,Downtown
98,190021974,2019-01-02,2218,Grant Park
99,190020748,2019-01-02,1100,Vine City
100,190020781,2019-01-02,1120,Vine City
101,190020809,2019-01-02,1137,Downtown
102,190021556,2019-01-02,1820,Kirkwood
103,190021710,2019-01-02,2032,Downtown
104,190021845,2019-01-02,2149,West End
105,190020615,2019-01-01,1240,Brookwood Hills
106,190020355,2019-01-01,1214,Colonial Homes
108,190020365,2019-01-01,1800,Grant Park
109,190020403,2019-01-01,2030,Downtown
110,190020457,2019-01-01,2300,Buckhead Forest
112,190020502,2019-01-01,2200,Lindbergh/Morosgo
116,190020843,2018-12-31,1700,Midtown
117,190020933,2018-07-26,2003,Downtown
118,190021043,2019-01-02,1340,North Buckhead
119,190021066,2019-01-02,1345,Marietta Street Artery
120,190021074,2019-01-02,1350,Garden Hills
121,190021118,2019-01-02,1420,Downtown
122,190021164,2018-12-31,1700,Ansley Park
123,190021204,2019-01-01,1215,Virginia Highland
124,190021258,2019-01-02,1518,Kirkwood
125,190021289,2019-01-02,1430,Greenbriar
127,190021414,2019-01-01,2300,Pine Hills
129,190021753,2019-01-02,1915,other
130,190021773,2019-01-02,1930,Peachtree Park
131,190021804,2019-01-02,2100,Adair Park
132,190021828,2019-01-02,2100,North Buckhead
133,190021897,2019-01-02,2200,Peachtree Park
134,190021952,2019-01-02,2033,Midtown
135,190021989,2019-01-02,2340,other
136,190030404,2019-01-02,2200,Lindbergh/Morosgo
137,190030442,2019-01-02,2000,Buckhead Village
138,190030758,2019-01-03,1000,Downtown
139,190030897,2019-01-02,2145,Atlanta University Center
140,190031004,2019-01-03,1347,Downtown
141,190031111,2019-01-03,1420,Perkerson
142,190031174,2019-01-03,1500,Morningside/Lenox Park
143,190031217,2019-01-03,1500,Midtown
145,190031380,2019-01-03,1211,Downtown
146,190031431,2019-01-03,1715,Grant Park
147,190031433,2019-01-03,1630,West End
148,190031903,2019-01-03,1845,Lindbergh/Morosgo
149,190031914,2019-01-03,2000,Ardmore
150,190031921,2019-01-03,1930,Home Park
151,190031954,2019-01-03,2100,Piedmont Heights
152,190032001,2019-01-03,1900,Inman Park
153,190032010,2019-01-03,2100,Buckhead Forest
154,190032026,2019-01-03,2030,East Chastain Park
156,190031247,2019-01-03,1500,Lenox
157,190031415,2019-01-03,1455,Edgewood
158,190031847,2019-01-03,2036,Lenox
159,190021687,2019-01-02,2019,Berkeley Park
160,190032145,2019-01-03,2320,Berkeley Park
161,190031754,2019-01-03,1946,Lindridge/Martin Manor
163,190030566,2018-03-01,1200,Collier Hills
165,190031342,2019-01-03,1430,Carey Park
166,190031350,2019-01-03,1700,Virginia Highland
169,190031779,2018-12-24,1630,Edgewood
170,190030034,2019-01-02,1900,The Villages at East Lake
171,190030339,2019-01-02,1900,Mechanicsville
174,190030693,2019-01-02,2200,Southwest
175,190030732,2019-01-02,2210,Buckhead Village
176,190031143,2019-01-03,1500,other
178,190032032,2019-01-03,2130,Downtown
179,190032095,2019-01-03,2319,South Atlanta
180,190031989,2019-01-03,2210,Midtown
182,190030833,2019-01-03,1200,Atlanta University Center
183,190031887,2019-01-03,2057,Fairburn Mays
184,190030599,2018-12-27,1600,Wesley Battle
186,190030962,2019-01-03,1318,South Atlanta
187,190031011,2018-12-28,1500,Oakland City
188,190031126,2019-01-03,1328,South Atlanta
192,190031455,2018-07-30,1200,Grove Park
193,190031135,2018-12-24,1200,Fairburn Mays
194,190031769,2019-01-03,1100,Thomasville Heights
195,190040604,2019-01-03,2053,Capitol View Manor
199,190041440,2019-01-04,1530,Hammond Park
200,190040551,2019-01-03,1730,Sweet Auburn
201,190041040,2019-01-04,1253,Midtown
202,190042131,2019-01-04,2150,Westview
203,190041947,2019-01-04,1930,other
204,190042243,2019-01-04,2302,Venetian Hills
205,190040743,2019-01-04,1000,Lindbergh/Morosgo
206,190040589,2019-01-03,1900,Edmund Park
207,190040802,2019-01-04,1030,Knight Park/Howell Station
208,190040867,2019-01-03,2130,Sylvan Hills
210,190041679,2019-01-04,1330,Morningside/Lenox Park
211,190041986,2019-01-04,1800,West End
212,190042272,2019-01-04,1945,Midtown
214,190041163,2019-01-04,1200,Center Hill
216,190041233,2019-01-04,1334,Adair Park
217,190041594,2019-01-04,1400,Mechanicsville
218,190041622,2019-01-04,1700,Grove Park
219,190041290,2019-01-04,1505,Sylvan Hills
221,183422060,2018-12-08,2330,Lindridge/Martin Manor
222,190041058,2019-01-04,1300,Westview
224,190041107,2018-09-12,1743,Wildwood (NPU-C)
225,190041185,2019-01-04,1347,Lindbergh/Morosgo
226,190041593,2019-01-04,1330,East Lake
227,190041615,2019-01-04,1700,Downtown
228,190041703,2019-01-04,1730,Adamsville
230,190041652,2018-12-31,2200,Midtown
231,190040561,2019-01-03,2200,English Avenue
233,190040230,2019-01-03,1800,Summerhill
234,190040870,2019-01-04,1030,Vine City
235,190040883,2019-01-03,1801,Edgewood
236,190040924,2019-01-01,1700,North Buckhead
237,190041091,2019-01-04,1300,Vine City
238,190041178,2019-01-04,1410,Edgewood
239,190041672,2019-01-04,1730,Lenox
241,190040359,2019-01-03,2239,Kirkwood
242,190040411,2019-01-03,2200,Grant Park
244,190040638,2019-01-03,2100,Grove Park
245,190040664,2019-01-03,1100,Ansley Park
246,190040861,2019-01-01,1100,Center Hill
249,190040942,2019-01-04,1230,Mechanicsville
250,190041074,2019-01-04,1300,Perkerson
251,190041087,2018-12-27,2300,Cabbagetown
252,190041229,2019-01-04,1245,Peachtree Park
253,190041268,2019-01-03,2100,Old Fourth Ward
254,190041413,2019-01-04,1200,Garden Hills
256,190041435,2019-01-04,1630,other
257,190041444,2019-01-04,1530,East Chastain Park
258,190032041,2019-01-03,2200,Garden Hills
261,190041474,2019-01-04,1545,North Buckhead
262,190041746,2019-01-04,1630,Buckhead Village
263,190041846,2019-01-04,1800,Home Park
264,190041919,2019-01-04,1915,North Buckhead
265,190041943,2019-01-04,1700,Home Park
266,190041989,2019-01-04,1830,Midtown
267,190042077,2019-01-04,1955,Midtown
268,190042085,2019-01-04,1800,Midtown
269,190042152,2019-01-04,2200,Midtown
270,190042179,2019-01-04,1930,Downtown
271,190042196,2019-01-04,2229,Mozley Park
272,190042280,2019-01-04,1030,Midtown
273,190042288,2019-01-04,2300,Morningside/Lenox Park
274,190042327,2019-01-04,2255,Sweet Auburn
275,190042348,2019-01-04,2100,Berkeley Park
276,190050049,2019-01-04,2314,Midtown
279,190051119,2019-01-05,1400,Lenox
280,190051649,2018-01-05,1800,Vine City
281,190051651,2019-01-05,1800,Vine City
283,190050240,2019-01-04,2130,Buckhead Village
284,190050324,2019-01-04,2330,Home Park
285,190050345,2019-01-04,2130,South Tuxedo Park
287,190050515,2019-01-04,2010,West Highlands
288,190050664,2019-01-04,2200,Blandtown
289,190050749,2019-01-04,2100,South Tuxedo Park
290,190050828,2019-01-05,1030,Adair Park
291,190050832,2019-01-04,1930,Chosewood Park
292,190050858,2018-12-26,2330,Grant Park
293,190050902,2019-01-04,2340,Downtown
294,190050912,2019-01-04,2000,Peachtree Heights West
295,190050960,2019-01-05,1215,Marietta Street Artery
296,190051011,2019-01-05,1300,Ardmore
297,190051056,2019-01-05,1315,Grant Park
298,190051063,2019-01-05,1330,Peachtree Park
299,190051133,2019-01-05,1438,North Buckhead
300,190051149,2019-01-05,1400,Midtown
301,190051153,2019-01-04,1455,Downtown
302,190051191,2019-01-05,1400,Blandtown
303,190051287,2019-01-05,1430,Home Park
304,190051382,2019-01-05,1247,Downtown
305,190051390,2019-01-05,1400,Downtown
306,190051478,2019-01-05,1500,Grant Park
307,190051615,2019-01-05,1400,Old Fourth Ward
308,190051641,2019-01-04,2200,Lindbergh/Morosgo
309,190051717,2019-01-05,1830,North Buckhead
310,190051905,2019-01-05,1820,Downtown
311,190051932,2019-01-05,2000,Lindbergh/Morosgo
312,190051968,2019-01-05,2100,Ardmore
313,190051986,2019-01-05,1820,Buckhead Village
314,190051993,2019-01-05,1900,Grant Park
315,190052152,2019-01-05,2221,Downtown
317,190050626,2019-01-04,1400,Old Fourth Ward
319,190050696,2019-01-02,2100,English Avenue
320,190052029,2019-01-05,2251,Downtown
321,190050855,2018-12-10,1300,Midtown
322,190051010,2019-01-04,1900,Sweet Auburn
323,190051425,2019-01-05,1530,North Buckhead
324,190051577,2019-01-05,1804,Downtown
325,190050881,2019-01-02,1100,Westview
327,190051541,2019-01-05,1700,Sylvan Hills
328,190050101,2019-01-04,2245,North Buckhead
331,190050998,2019-01-05,1045,Downtown
332,190051389,2019-01-05,1430,Chosewood Park
334,190051912,2019-01-05,2123,Castleberry Hill
335,190050215,2019-01-04,2100,Westview
336,190050891,2019-01-05,1100,West End
337,190051678,2019-01-05,1855,North Buckhead
338,190052066,2019-01-05,2316,Center Hill
339,190361920,2019-01-03,1100,Cascade Avenue/Road
340,190051486,2019-01-04,1300,Bush Mountain
341,190051728,2019-01-05,1929,Home Park
342,190051754,2019-01-05,1934,Riverside
345,190051164,2019-01-04,1300,other
347,190061280,2019-01-06,1700,Norwood Manor
349,190061139,2019-01-06,1000,Downtown
350,190061534,2019-01-06,1920,other
351,190061702,2019-01-06,2120,Midtown
352,190061116,2019-01-06,1500,Oakland City
353,190061616,2019-01-06,2024,Capitol View
354,190060160,2019-01-05,2340,Midtown
356,190060963,2019-01-05,1700,other
357,190061567,2019-01-06,1940,Adair Park
358,190061775,2019-01-06,2230,Downtown
359,190060690,2019-01-05,2245,Grant Park
361,190061095,2019-01-06,1420,Adamsville
362,190061484,2019-01-04,1200,Downtown
363,190061272,2019-01-06,1650,Midtown
364,190061450,2019-01-06,1330,Downtown
365,190061520,2019-01-06,1330,Dixie Hills
366,190060630,2019-01-05,2200,Bankhead/Bolton
367,190060682,2019-01-06,1018,Morningside/Lenox Park
368,190060117,2019-01-05,1955,Old Fourth Ward
375,190060664,2019-01-06,1006,Mechanicsville
376,190060739,2019-01-06,1040,Berkeley Park
377,190060906,2019-01-05,1107,Midtown
379,190060976,2019-01-05,1800,Midtown
380,190060999,2019-01-04,1700,Virginia Highland
381,190061096,2019-01-06,1529,Collier Heights
382,190061475,2019-01-06,1700,Midtown
383,190061650,2019-01-06,1800,Edgewood
384,190061717,2019-01-06,1900,Virginia Highland
385,190061824,2019-01-06,2055,other
386,190061290,2019-01-06,1700,Vine City
387,190061510,2019-01-06,1913,Berkeley Park
388,190061541,2019-01-06,1900,Edgewood
389,190071150,2019-01-07,1420,Vine City
390,190071273,2019-01-07,1500,Edgewood
391,190071327,2019-01-07,1510,Lenox
392,190071344,2019-01-07,1610,Old Fourth Ward
393,190071896,2019-01-07,2120,Vine City
395,190070037,2019-01-06,1450,Inman Park
396,190070038,2019-01-06,2200,Princeton Lakes
397,190070401,2019-01-06,1730,Buckhead Forest
398,190070500,2019-01-06,1800,Virginia Highland
399,190070592,2019-01-06,2130,Morningside/Lenox Park
400,190070613,2019-01-06,1400,West End
402,190070754,2019-01-07,1020,Midtown
403,190070788,2019-01-07,1015,West Paces Ferry/Northside
404,190070804,2019-01-07,1100,Berkeley Park
405,190070813,2019-01-07,1115,Grant Park
406,190070856,2019-01-07,1056,Buckhead Forest
407,190070900,2019-01-07,1140,Lindbergh/Morosgo
408,190071133,2019-01-07,1300,Cascade Heights
409,190071141,2019-01-07,1350,Home Park
411,190071301,2019-01-07,1530,other
412,190071318,2019-01-07,1613,Kings Forest
413,190071376,2019-01-07,1220,Piedmont Heights
414,190071421,2019-01-07,1500,Morningside/Lenox Park
415,190071697,2019-01-06,2330,Midtown
416,190071865,2019-01-07,1630,Downtown
417,190071934,2019-01-07,1830,Downtown
420,190071935,2019-01-07,2142,other
423,190071192,2018-12-10,1200,Campbellton Road
424,190071220,2019-01-07,1357,Blandtown
425,190071449,2019-01-07,1415,Greenbriar
427,190071904,2018-12-29,1900,Bankhead/Bolton
430,190072012,2019-01-07,2255,Hammond Park
431,190070697,2019-01-07,1010,Mozley Park
432,190071067,2018-12-20,1300,Vine City
433,190071618,2018-12-17,1600,Peoplestown
434,190071859,2019-01-07,2000,Midtown
435,190071882,2019-01-07,2104,Downtown
436,190070493,2019-01-06,2304,Old Fourth Ward
437,190070495,2019-01-06,1900,East Atlanta
438,190070576,2019-01-03,2200,Harris Chiles
439,190070928,2019-01-07,1224,East Chastain Park
440,190071051,2019-01-07,1200,Pine Hills
441,190071614,2019-01-07,1820,Sylvan Hills
442,190072047,2019-01-07,2315,Garden Hills
443,190071628,2019-01-07,1825,Polar Rock
444,190071976,2019-01-07,2227,other
445,190072007,2019-01-04,2330,Old Fourth Ward
446,190071696,2019-01-07,1840,West End
449,190072061,2019-01-07,2130,Old Fourth Ward
452,190071917,2019-01-07,2125,Vine City
458,190070638,2019-01-05,2200,Perkerson
463,190081298,2019-01-07,1900,Berkeley Park
464,190082176,2019-01-08,1530,Midtown
466,190080981,2019-01-08,1130,Adams Park
467,190081960,2019-01-08,2002,Kirkwood
469,190081996,2019-01-06,1200,Washington Park
470,190082035,2019-01-08,2040,Fairburn Mays
471,190082280,2019-01-08,2300,Atlanta University Center
472,190081786,2019-01-08,1620,Hunter Hills
473,190081990,2019-01-08,2000,Grove Park
474,190082129,2019-01-08,2145,Inman Park
475,190080571,2019-01-07,2300,South Atlanta
476,190080451,2019-01-05,1500,Lindridge/Martin Manor
477,190081961,2019-01-08,1500,Edgewood
478,190082128,2018-01-06,1530,Lindbergh/Morosgo
479,190080717,2019-01-07,1100,Peoplestown
480,190080898,2019-01-08,1115,Midtown
481,190081025,2019-01-07,1300,Downtown
482,190081132,2018-12-11,1900,Greenbriar
483,190081158,2019-01-08,1100,Florida Heights
484,190081224,2019-01-07,1429,Harland Terrace
485,190081453,2019-01-08,1358,Lindbergh/Morosgo
486,190081917,2019-01-08,1800,Lenox
487,190080609,2019-01-07,1900,East Atlanta
488,190082170,2019-01-08,2225,Benteen Park
490,190081303,2018-12-31,2110,Midtown
491,190081592,2019-01-08,1650,Downtown
493,190080754,2019-01-07,2230,Wildwood (NPU-C)
494,190081065,2019-01-06,1100,Downtown
497,190081523,2019-01-07,2000,Scotts Crossing
498,190080017,2019-01-07,2130,Buckhead Forest
499,190081371,2019-01-07,1730,Oakland City
500,190081123,2019-01-07,1600,North Buckhead
501,190081327,2019-01-03,1500,Edgewood
502,190081420,2019-01-08,1605,Edgewood
503,190081480,2011-01-07,1200,West End
504,190081847,2019-01-08,1859,Downtown
505,190082032,2019-01-08,2030,Berkeley Park
506,190080126,2019-01-07,2200,Midtown
507,190080369,2019-01-07,2300,Custer/McDonough/Guice
508,190080540,2019-01-07,2300,Cascade Avenue/Road
510,190081143,2019-01-08,1315,Oakland City
511,190081291,2019-01-08,1406,East Lake
512,190081352,2019-01-08,1508,Paces
513,190081398,2019-01-06,1500,other
514,190081416,2019-01-07,1620,The Villages at Castleberry Hill
515,190081465,2019-01-08,1620,West Lake
518,190081677,2019-01-07,1500,other
520,190081772,2019-01-08,1540,Lindbergh/Morosgo
521,190081939,2019-01-08,1820,Virginia Highland
522,190082029,2019-01-08,1950,Blandtown
523,190082077,2019-01-08,1830,other
524,190082111,2019-01-08,1855,Blandtown
525,190082141,2019-01-08,2003,Downtown
526,190082213,2019-01-08,2110,Midtown
527,190082240,2019-01-08,2215,Lindridge/Martin Manor
528,190081094,2019-01-08,1318,Center Hill
529,190080762,2019-01-07,1900,Old Fourth Ward
532,190090137,2019-01-08,2100,Blandtown
533,190090270,2019-01-08,2100,Lincoln Homes
534,190090645,2019-01-08,1926,Old Fourth Ward
535,190090669,2019-01-08,2245,other
536,190090680,2019-01-03,1000,Downtown
539,190090950,2019-01-09,1300,Lakewood Heights
540,190091038,2019-01-09,1140,Lindbergh/Morosgo
541,190091124,2019-01-09,1310,North Buckhead
544,190091228,2019-01-09,1300,other
545,190091495,2019-01-09,1400,Downtown
547,190091799,2019-01-09,1730,Buckhead Village
548,190091835,2019-01-05,1830,other
549,190091850,2019-01-09,1847,Lindbergh/Morosgo
550,190091851,2019-01-09,1800,Old Fourth Ward
551,190091871,2019-01-09,1750,Peachtree Hills
552,190091895,2019-01-09,1500,Lenox
553,190091929,2019-01-09,1925,Westview
554,190091947,2019-01-09,1730,Bolton
555,190091977,2019-01-09,1915,Buckhead Forest
556,190091984,2019-01-09,1915,other
557,190092077,2019-01-08,2030,Midtown
558,190092158,2019-01-09,2130,Downtown
559,190090726,2019-01-08,1830,Downtown
560,190091103,2019-01-09,1255,Downtown
562,190091761,2019-01-09,1806,Lindbergh/Morosgo
563,190091765,2018-10-12,1301,Berkeley Park
564,190091903,2019-01-09,1900,Lindbergh/Morosgo
565,190092104,2019-01-09,1930,East Chastain Park
566,190092144,2019-01-09,2015,Wildwood (NPU-C)
567,190092162,2019-01-09,2045,Home Park
568,190092173,2019-01-09,2136,Castleberry Hill
569,190092183,2019-01-09,1930,North Buckhead
570,190092232,2019-01-09,2115,Blandtown
571,190092234,2019-01-09,2100,Marietta Street Artery
572,190092241,2019-01-09,2215,Poncey-Highland
573,183571040,2018-12-23,1320,West End
574,190090473,2019-01-08,2300,Venetian Hills
577,190090946,2019-01-08,1600,Peyton Forest
579,190091159,2019-01-09,1200,Midtown
581,190091403,2019-01-09,1430,Atlantic Station
584,190091933,2019-01-09,1930,other
585,190091600,2018-12-23,1340,Midtown
587,190091998,2019-01-09,1930,East Atlanta
588,190092180,2018-12-12,1500,Midtown
591,190091576,2019-01-09,1640,Browns Mill Park
592,190090944,2018-12-17,1000,Cascade Avenue/Road
593,190091566,2019-01-09,1630,Piedmont Heights
594,190091635,2019-01-09,1700,West End
595,190090442,2019-01-08,2300,Grove Park
597,190091081,2019-01-08,1830,Glenrose Heights
598,190091265,2019-01-09,1420,Pittsburgh
599,190091355,2019-01-09,1420,Pittsburgh
600,190091430,2019-01-09,1500,Lindbergh/Morosgo
602,190091912,2019-01-09,1630,Carver Hills
603,190091937,2019-01-09,1930,Bolton
604,190092005,2019-01-09,1950,North Buckhead
605,190092291,2019-01-09,2245,Southwest
608,190091253,2019-01-09,1420,Pine Hills
609,190091493,2019-01-09,1512,West End
610,190091784,2019-01-09,1823,Downtown
611,190092007,2019-01-09,2014,Midtown
613,190092153,2019-01-09,2000,English Park
615,190090775,2019-01-09,1004,Downtown
616,190090565,2019-01-08,1830,Westview
618,190092017,2019-01-09,1400,Glenrose Heights
622,190090760,2018-12-26,1700,Oakland City
623,190090811,2019-01-08,1615,Beecher Hills
624,190091371,2019-01-06,2000,Westhaven
626,190102162,2019-01-10,1830,Ashview Heights
631,190101205,2019-01-05,1300,Peachtree Heights West
632,190101302,2019-01-10,1400,Campbellton Road
633,190100882,2019-01-09,2200,Westview
634,190101637,2019-01-10,1430,Colonial Homes
635,190101651,2019-01-10,1400,West Paces Ferry/Northside
636,190101966,2019-01-09,2230,West End
637,190101980,2019-01-10,1500,Lindbergh/Morosgo
639,190102040,2019-01-10,1620,Center Hill
641,190101893,2019-01-10,1800,Buckhead Forest
645,190100569,2019-01-09,2130,Buckhead Village
646,190100683,2019-01-09,2330,Ormewood Park
648,190101449,2019-01-09,2000,Pittsburgh
650,190101828,2019-01-08,1800,Harland Terrace
651,190102254,2019-01-10,1947,Garden Hills
652,190102260,2019-01-10,2000,other
654,190100726,2019-01-08,1700,Oakland City
655,190100888,2019-01-08,1730,Peachtree Hills
656,190101700,2019-01-06,1826,Old Fourth Ward
657,190101843,2018-10-03,1745,Piedmont Heights
659,190101068,2019-01-10,1151,East Atlanta
661,190101570,2019-01-02,1200,Lindbergh/Morosgo
662,190101834,2019-01-03,2000,Sweet Auburn
663,190102090,2019-01-10,1920,Collier Heights
664,190102338,2019-01-10,2120,other
666,190101308,2019-01-06,2000,West End
667,190100004,2019-01-09,2030,Midtown
668,190100010,2019-01-09,2030,Midtown
669,190100200,2019-01-09,2310,Virginia Highland
671,190100933,2019-01-10,1100,Grove Park
672,190101019,2019-01-10,1130,Tuxedo Park
673,190101318,2019-01-10,1400,Almond Park
675,190101604,2019-01-10,1530,Midtown
677,190101908,2019-01-10,1630,Midtown
678,190101928,2019-01-10,1804,Blandtown
679,190101981,2019-01-10,1700,Wildwood (NPU-C)
680,190101983,2019-01-10,1800,Midtown
681,190102069,2019-01-10,1840,Berkeley Park
683,190102128,2019-01-10,1800,Candler Park
684,190102255,2019-01-10,1948,Garden Hills
685,190102295,2019-01-10,2105,West End
686,190102369,2019-01-10,1915,Morningside/Lenox Park
687,190102374,2019-01-10,2100,Buckhead Forest
688,190102483,2019-01-10,2200,East Atlanta
690,190101018,2019-01-08,1950,Lenox
691,190101090,2019-01-10,1235,Edgewood
692,190101251,2019-01-10,1300,Pittsburgh
693,190102256,2019-01-10,2130,Lenox
694,190101602,2019-01-10,1530,Campbellton Road
695,190101772,2019-01-10,1711,Riverside
696,190102078,2019-01-10,1900,Poncey-Highland
698,190110844,2019-01-07,1002,Atlantic Station
699,190111170,2019-01-11,1200,Vine City
700,190111203,2019-01-11,1330,Venetian Hills
701,190111382,2019-01-03,1800,Lenox
702,190111454,2019-01-11,1545,Vine City
703,190111527,2019-01-11,1530,Edgewood
704,190111813,2019-01-11,1818,Lenox
705,190111900,2019-01-11,1820,Cascade Avenue/Road
706,190112215,2019-01-11,1830,Old Fourth Ward
707,190112216,2019-01-11,2000,Midtown
708,190112267,2019-01-11,2100,Marietta Street Artery
709,190112310,2019-01-11,1900,Sweet Auburn
710,190112342,2019-01-11,2230,Piedmont Heights
711,190112388,2019-01-10,2200,Downtown
712,190110005,2019-01-10,2300,Castleberry Hill
713,190110451,2019-01-10,2350,Kirkwood
717,190110953,2019-01-11,1030,Marietta Street Artery
718,190111048,2019-01-11,1130,Ardmore
719,190111055,2019-01-11,1155,Garden Hills
720,190111089,2019-01-11,1130,Old Fourth Ward
721,190111090,2019-01-11,1130,Buckhead Forest
723,190111126,2019-01-11,1249,Underwood Hills
724,190111135,2019-01-11,1130,North Buckhead
725,190111151,2018-12-18,1200,Downtown
726,190111208,2019-01-11,1330,Perkerson
727,190111471,2019-01-03,1549,Midtown
728,190111707,2019-01-11,1645,Peachtree Heights West
729,190111809,2019-01-11,1819,other
730,190111979,2019-01-11,1730,Grant Park
731,190111999,2019-01-11,1600,Greenbriar
733,190112112,2019-01-11,2010,Marietta Street Artery
734,190110676,2019-01-10,1730,Old Fourth Ward
735,190111278,2019-01-10,1600,Peachtree Heights West
736,190110747,2019-01-09,1300,Downtown
737,190110817,2018-12-16,2100,Buckhead Village
738,190111093,2018-12-20,1230,The Villages at East Lake
739,190111843,2019-01-11,1840,Venetian Hills
742,190110236,2019-01-10,1845,other
743,190110451,2019-01-10,2350,Kirkwood
744,190111064,2019-01-10,1130,East Atlanta
745,190111110,2019-01-11,1200,Grove Park
746,190111312,2019-01-11,1410,Peachtree Heights West
747,190111798,2019-01-11,1800,Margaret Mitchell
749,190102435,2019-01-10,2235,other
750,190111497,2019-01-11,1520,Rosedale Heights
751,190111734,2018-01-09,1200,Ashview Heights
752,190111740,2019-01-11,1730,Atlantic Station
753,190111880,2019-01-11,1846,Center Hill
754,190112047,2019-01-11,2000,other
755,190112150,2019-01-11,2114,Campbellton Road
756,190111196,2019-01-07,2130,Mays
757,190111971,2019-01-11,1915,other
759,190111376,2019-01-11,1500,Garden Hills
760,190110504,2019-01-08,1800,Capitol View
761,190111076,2019-01-09,1200,Mozley Park
762,190111134,2019-01-11,1100,Peoplestown
763,190111389,2019-01-11,1510,Hunter Hills
764,190112255,2019-01-11,1830,Mays
765,190110951,2018-12-16,1200,Loring Heights
766,190111247,2019-01-11,1100,Hammond Park
768,190112352,2019-01-11,2330,Greenbriar
770,190120714,2019-01-11,2100,Ashview Heights
771,190121555,2019-01-12,1000,Capitol View
772,190121852,2019-01-12,2000,Cabbagetown
773,190121703,2019-01-12,1930,Florida Heights
774,190112280,2019-01-11,2245,Center Hill
776,190121880,2019-01-12,2205,Sweet Auburn
777,190121389,2019-01-12,1630,Florida Heights
778,190120070,2019-01-11,1800,Vine City
779,190120071,2019-01-11,2240,South River Gardens
782,190120607,2019-01-11,1900,Grant Park
783,190120675,2019-01-11,1900,Midtown
785,190120811,2019-01-10,1200,Norwood Manor
787,190120704,2019-01-11,2130,Glenrose Heights
788,190120911,2019-01-12,1104,Old Fourth Ward
789,190121655,2019-01-12,1916,Downtown
790,190121711,2019-01-12,1940,Greenbriar
792,190111974,2019-01-11,1647,Lindbergh/Morosgo
793,190120823,2019-01-06,1440,Piedmont Heights
794,190121344,2019-01-12,1400,Lenox
796,190121844,2019-01-12,2134,Lindridge/Martin Manor
797,190112197,2019-01-11,2000,Tuxedo Park
798,190120019,2019-01-11,2200,Home Park
799,190120097,2019-01-11,1639,Castleberry Hill
801,190120163,2019-01-11,2257,North Buckhead
803,190120298,2019-01-11,2300,East Chastain Park
805,190120357,2019-01-11,2000,Sweet Auburn
807,190120372,2019-01-11,2330,Downtown
