,Report Number,Occur Date,Occur Time,Neighborhood
13781,192101539,2019-07-28,1730,Campbellton Road
13783,192100818,2019-07-29,1057,Lindridge/Martin Manor
13784,192100993,2019-07-26,1933,Lenox
13785,192100994,2019-07-27,1445,Lenox
13786,192101004,2019-07-29,1100,Lenox
13787,192101171,2019-07-29,1400,Midtown
13788,192101389,2019-07-01,2150,Midtown
13789,192101714,2019-07-29,1840,South Atlanta
13790,192101741,2019-07-29,1855,Buckhead Forest
13791,192101870,2019-07-29,2023,Underwood Hills
13792,192102055,2019-07-29,2200,Oakland
13793,192100952,2019-07-06,1442,Mechanicsville
13794,192101036,2019-07-28,2100,Browns Mill Park
13795,192101109,2019-07-29,1200,Cabbagetown
13796,192101316,2019-07-28,1530,Piedmont Heights
13797,192101560,2019-07-29,1900,Mechanicsville
13798,192102092,2019-07-29,2100,Downtown
13800,192100459,2019-07-26,1800,North Buckhead
13801,192100688,2019-07-27,1600,Collier Heights
13802,192100775,2019-07-28,1700,Old Fourth Ward
13803,192100863,2019-07-24,1700,other
13804,192100894,2019-07-27,1230,Adamsville
13805,192101301,2019-07-26,1400,North Buckhead
13806,192101777,2019-07-28,2000,Downtown
13807,192101900,2019-07-26,1400,North Buckhead
13809,192100341,2019-07-28,1830,Capitol View
13810,192100420,2019-07-28,2200,Southwest
13811,192100440,2019-07-27,2200,other
13814,192100624,2019-07-27,1900,Lakewood Heights
13815,192100809,2019-07-28,2100,Sylvan Hills
13816,192100962,2019-07-29,1235,Westview
13817,192100992,2019-07-29,1250,Adamsville
13818,192101477,2019-07-29,1654,Blandtown
13819,192101646,2019-07-29,1805,Marietta Street Artery
13820,192101681,2019-07-28,1930,Lindbergh/Morosgo
13821,192101877,2019-07-29,2000,West Highlands
13822,192100022,2019-07-28,2000,Morningside/Lenox Park
13827,192100551,2019-07-28,2000,Brookview Heights
13828,192100562,2019-07-28,2043,Princeton Lakes
13830,192100594,2019-07-28,1800,Ben Hill Forest
13831,192100649,2019-07-28,1000,Old Fourth Ward
13834,192100867,2019-07-28,2300,Berkeley Park
13835,192100928,2019-07-29,1007,Sweet Auburn
13836,192101216,2019-07-29,1449,North Buckhead
13838,192101221,2019-07-29,1300,East Lake
13839,192101229,2019-07-29,1248,Downtown
13840,192101304,2019-07-28,1400,Midtown
13841,192101314,2019-07-29,1300,Oakland City
13842,192101330,2019-07-28,1500,Midtown
13844,192101470,2019-07-29,1000,Old Fourth Ward
13845,192101667,2019-07-27,2200,South Tuxedo Park
13847,192101727,2019-07-29,1810,Wildwood (NPU-C)
13848,192101779,2019-07-29,1814,Berkeley Park
13849,192101796,2019-07-24,2100,East Chastain Park
13850,192101843,2019-07-28,1930,Poncey-Highland
13851,192102020,2019-07-29,1900,Poncey-Highland
13852,192102044,2019-07-29,2026,Downtown
13853,192102050,2019-07-29,1800,Morningside/Lenox Park
13854,192102058,2019-07-29,2225,Ardmore
13855,192102084,2019-07-29,2100,Midtown
13857,192100508,2019-05-25,1900,Midtown
